,RANK,FREQUENCY,WORD,PART OF SPEECH
3487,1908,4832,milk,n
3488,2619,3122,mill,n
3489,448,22926,mind,n
3490,1124,8946,mind,v
3491,1929,4769,mine,n
3492,2143,4148,mine,pron
3493,3325,2150,miner,n
3494,4378,1453,mineral,n
3495,4531,1379,minimal,a
3496,5850,910,minimise,v
3497,2797,2837,minimum,a
3498,3229,2264,minimum,n
3499,4530,1379,mining,n
3500,335,29141,minister,n
3501,5509,1006,ministerial,a
3502,1707,5544,ministry,n
3503,2014,4482,minor,a
3504,2081,4313,minority,n
3505,4539,1376,minus,prep
3506,3559,1936,minute,a
3507,396,25440,minute,n
3508,4143,1564,miracle,n
3509,2370,3613,mirror,n
3510,4987,1193,miserable,a
3511,4637,1329,misery,n
3512,5054,1167,misleading,a
3513,952,10627,miss,v
3514,3609,1902,missile,n
3515,4426,1426,missing,a
3516,2622,3118,mission,n
3517,4741,1282,mist,n
3518,1846,5045,mistake,n
3519,4475,1406,mistake,v
3520,5212,1107,mistress,n
3521,4189,1544,mix,n
3522,2136,4155,mix,v
3523,3493,1991,mixed,a
3524,2468,3418,mixture,n
3525,6309,801,moan,v
3526,4952,1207,mobile,a
3527,4445,1418,mobility,n
3528,2227,3962,mode,n
3529,591,17553,model,n
3530,4268,1502,model,v
3531,5505,1007,moderate,a
3532,772,13156,modern,a
3533,3197,2301,modest,a
3534,3668,1867,modification,n
3535,3210,2291,modify,v
3536,1619,5882,module,n
3537,6127,841,mole,n
3538,4688,1301,molecular,a
3539,3444,2041,molecule,n
3540,397,25371,moment,n
3541,5729,945,momentum,n
3542,5806,920,monarch,n
3543,5499,1011,monarchy,n
3544,5800,922,monastery,n
3545,2800,2833,monetary,a
3546,247,37892,money,n
3547,5296,1077,monitor,n
3548,2310,3758,monitor,v
3549,6080,851,monitoring,n
3550,5105,1146,monk,n
3551,5317,1067,monkey,n
3552,3336,2141,monopoly,n
3553,4020,1639,monster,n
3554,236,39819,month,n
3555,4275,1500,monthly,a
3556,4762,1272,monument,n
3557,2336,3696,mood,n
3558,3020,2488,moon,n
3559,5480,1015,moor,n
3560,2195,4038,moral,a
3561,3976,1663,moral,n
3562,5784,928,morale,n
3563,4879,1231,morality,n
3564,68,146029,more,adv
3565,131,67198,more,det
3566,2073,4327,moreover,adv
3567,471,21845,morning,n
3568,3217,2282,mortality,n
3569,2744,2927,mortgage,n
3570,5066,1161,mosaic,n
3571,172,54966,most,adv
3572,212,43792,most,det
3573,2241,3928,mostly,adv
3574,354,27784,mother,n
3575,5269,1086,motif,n
3576,1788,5269,motion,n
3577,4812,1254,motivate,v
3578,3879,1735,motivation,n
3579,3413,2070,motive,n
3580,1841,5052,motor,n
3581,6042,859,motorist,n
3582,4485,1403,motorway,n
3583,5970,876,mould,n
3584,2682,3036,mount,v
3585,1590,5998,mountain,n
3586,2793,2844,mouse,n
3587,1014,9930,mouth,n
3588,1125,8945,move,n
3589,249,37836,move,v
3590,580,17880,movement,n
3591,2804,2822,movie,n
3592,4124,1574,moving,a
3593,153,61338,much,adv
3594,301,31284,much,det
3595,3530,1961,mud,n
3596,5665,962,mug,n
3597,6229,818,multimedia,n
3598,3054,2454,multiple,a
3599,5036,1176,multiply,v
3600,6152,835,municipal,a
3601,1597,5961,murder,n
3602,3099,2390,murder,v
3603,5094,1150,murderer,n
3604,3298,2184,murmur,v
3605,2287,3792,muscle,n
3606,1473,6516,museum,n
3607,6083,850,mushroom,n
3608,681,15024,music,n
3609,2780,2866,musical,a
3610,3785,1787,musician,n
3611,120,72059,must,modal
3612,5758,936,mutation,n
3613,3419,2064,mutter,v
3614,3290,2198,mutual,a
3615,65,152619,my,det
3616,821,12444,myself,pron
3617,4619,1336,mysterious,a
3618,2837,2781,mystery,n
3619,3474,2012,myth,n
3620,4318,1481,nail,n
3621,3435,2049,naked,a
3622,292,32309,name,n
3623,1523,6284,name,v
3624,3313,2164,namely,adv
3625,5005,1185,narrative,n
3626,1772,5342,narrow,a
3627,4955,1206,narrow,v
3628,3652,1877,nasty,a
3629,1192,8508,nation,n
3630,256,37231,national,a
3631,5519,1003,nationalism,n
3632,4367,1459,nationalist,n
3633,5640,969,nationality,n
3634,6033,861,nationally,adv
3635,3656,1874,native,a
3636,5151,1132,native,n
3637,722,14304,natural,a
3638,2131,4172,naturally,adv
3639,570,18223,nature,n
3640,4274,1500,naval,a
3641,3952,1680,navy,n
3642,2480,3399,near,a
3643,2633,3107,near,adv
3644,724,14248,near,prep
3645,3452,2036,nearby,a
